2022-03-03 23:14:31, {'message': 'submit job', 'job_group_id': 136623, 'job_id': 753837, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/9f906b0e9b0411ec9996f99d74ade8a4/9f906b0e9b0411ec9996f99d74ade8a4.zip'}
2022-03-04 12:02:31, {'message': 'submit job', 'job_group_id': 136710, 'job_id': 756932, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/e9c9167e9b6f11ec9996f99d74ade8a4/e9c9167e9b6f11ec9996f99d74ade8a4.zip'}
2022-03-04 17:14:07, {'message': 'submit job', 'job_group_id': 136766, 'job_id': 761232, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/71686cbc9b9b11ec9997f99d74ade8a4/71686cbc9b9b11ec9997f99d74ade8a4.zip'}
2022-03-04 22:48:43, {'message': 'submit job', 'job_group_id': 136804, 'job_id': 762914, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/2fae00be9bca11ec9997f99d74ade8a4/2fae00be9bca11ec9997f99d74ade8a4.zip'}
2022-03-06 18:54:21, {'message': 'submit job', 'job_group_id': 137011, 'job_id': 769083, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/c6c004d09d3b11ec9997f99d74ade8a4/c6c004d09d3b11ec9997f99d74ade8a4.zip'}
2022-03-07 13:55:38, {'message': 'submit job', 'job_group_id': 137188, 'job_id': 775704, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/3658de089ddb11ec9997f99d74ade8a4/3658de089ddb11ec9997f99d74ade8a4.zip'}
2022-03-08 10:47:28, {'message': 'submit job', 'job_group_id': 137398, 'job_id': 780566, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/1766e3fa9e8a11ec9998f99d74ade8a4/1766e3fa9e8a11ec9998f99d74ade8a4.zip'}
2022-03-08 16:57:07, {'message': 'submit job', 'job_group_id': 137504, 'job_id': 784617, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/bb4eb2449ebd11ec9999f99d74ade8a4/bb4eb2449ebd11ec9999f99d74ade8a4.zip'}
2022-03-08 23:56:43, {'message': 'submit job', 'job_group_id': 137642, 'job_id': 789218, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/595474da9ef811ec999bf99d74ade8a4/595474da9ef811ec999bf99d74ade8a4.zip'}
2022-03-09 10:11:18, {'message': 'submit job', 'job_group_id': 137704, 'job_id': 791527, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/345fd9169f4e11ec999bf99d74ade8a4/345fd9169f4e11ec999bf99d74ade8a4.zip'}
2022-03-09 14:00:51, {'message': 'submit job', 'job_group_id': 137758, 'job_id': 795825, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/455415a09f6e11ec999df99d74ade8a4/455415a09f6e11ec999df99d74ade8a4.zip'}
2022-03-09 16:09:13, {'message': 'submit job', 'job_group_id': 137812, 'job_id': 798724, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/345da2729f8011ec999ef99d74ade8a4/345da2729f8011ec999ef99d74ade8a4.zip'}
2022-03-22 16:22:08, {'message': 'submit job', 'job_group_id': 141615, 'job_id': 964416, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/29aa7c0ea9b911ec9298f3c47880d670/29aa7c0ea9b911ec9298f3c47880d670.zip'}
2022-03-23 11:25:37, {'message': 'submit job', 'job_group_id': 141788, 'job_id': 972068, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/e7b01962aa5811ec9298f3c47880d670/e7b01962aa5811ec9298f3c47880d670.zip'}
2022-03-24 22:22:56, {'message': 'submit job', 'job_group_id': 141788, 'job_id': 983637, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/e5b6b02cab7d11ec84d500163e217297/e5b6b02cab7d11ec84d500163e217297.zip'}
2022-03-24 22:25:25, {'message': 'submit job', 'job_group_id': 142067, 'job_id': 983678, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/3e5cea69ab7e11ec99a400163e217297/3e5cea69ab7e11ec99a400163e217297.zip'}
2022-03-26 16:03:16, {'message': 'submit job', 'job_group_id': 142397, 'job_id': 999127, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/30a41a88acdb11ec861600163e217297/30a41a88acdb11ec861600163e217297.zip'}
2022-03-27 22:18:28, {'message': 'submit job', 'job_group_id': 142659, 'job_id': 1005028, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/c538dd92add811ec81e400163e217297/c538dd92add811ec81e400163e217297.zip'}
2022-03-27 22:19:23, {'message': 'submit job', 'job_group_id': 142659, 'job_id': 1005029, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/e5e3c7b3add811ec80e900163e217297/e5e3c7b3add811ec80e900163e217297.zip'}
