2022-03-03 23:17:42, {'message': 'submit job', 'job_group_id': 136626, 'job_id': 753941, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/11a8ce7a9b0511ec9996f99d74ade8a4/11a8ce7a9b0511ec9996f99d74ade8a4.zip'}
2022-03-04 12:04:30, {'message': 'submit job', 'job_group_id': 136711, 'job_id': 756967, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/3091b9da9b7011ec9996f99d74ade8a4/3091b9da9b7011ec9996f99d74ade8a4.zip'}
2022-03-04 16:29:04, {'message': 'submit job', 'job_group_id': 136739, 'job_id': 760567, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/25fa76049b9511ec9997f99d74ade8a4/25fa76049b9511ec9997f99d74ade8a4.zip'}
2022-03-04 22:47:39, {'message': 'submit job', 'job_group_id': 136803, 'job_id': 762891, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/0955f1ba9bca11ec9997f99d74ade8a4/0955f1ba9bca11ec9997f99d74ade8a4.zip'}
2022-03-06 18:56:51, {'message': 'submit job', 'job_group_id': 137012, 'job_id': 769177, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/200d7d109d3c11ec9997f99d74ade8a4/200d7d109d3c11ec9997f99d74ade8a4.zip'}
2022-03-07 13:40:01, {'message': 'submit job', 'job_group_id': 137180, 'job_id': 774587, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/0798bf0e9dd911ec9997f99d74ade8a4/0798bf0e9dd911ec9997f99d74ade8a4.zip'}
2022-03-08 10:48:25, {'message': 'submit job', 'job_group_id': 137400, 'job_id': 780621, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/394e007a9e8a11ec9998f99d74ade8a4/394e007a9e8a11ec9998f99d74ade8a4.zip'}
2022-03-08 16:50:56, {'message': 'submit job', 'job_group_id': 137502, 'job_id': 784416, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/de07b6a69ebc11ec9999f99d74ade8a4/de07b6a69ebc11ec9999f99d74ade8a4.zip'}
2022-03-08 23:50:35, {'message': 'submit job', 'job_group_id': 137641, 'job_id': 789018, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/7df8730a9ef711ec999bf99d74ade8a4/7df8730a9ef711ec999bf99d74ade8a4.zip'}
2022-03-09 14:00:42, {'message': 'submit job', 'job_group_id': 137757, 'job_id': 795816, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/407cb28a9f6e11ec999df99d74ade8a4/407cb28a9f6e11ec999df99d74ade8a4.zip'}
2022-03-09 16:09:06, {'message': 'submit job', 'job_group_id': 137811, 'job_id': 798721, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/3014a5809f8011ec999ef99d74ade8a4/3014a5809f8011ec999ef99d74ade8a4.zip'}
2022-03-24 21:33:57, {'message': 'submit job', 'job_group_id': 142063, 'job_id': 983343, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/0dc48b19ab7711ecab9800163e217297/0dc48b19ab7711ecab9800163e217297.zip'}
2022-03-25 12:20:36, {'message': 'submit job', 'job_group_id': 142223, 'job_id': 987918, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/eab67cababf211eca83800163e217297/eab67cababf211eca83800163e217297.zip'}
2022-03-26 16:01:16, {'message': 'submit job', 'job_group_id': 142223, 'job_id': 999085, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/e8e6d4feacda11ec9298f3c47880d670/e8e6d4feacda11ec9298f3c47880d670.zip'}
2022-03-26 16:01:26, {'message': 'submit job', 'job_group_id': 142396, 'job_id': 999086, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/ef15de42acda11ec9298f3c47880d670/ef15de42acda11ec9298f3c47880d670.zip'}
2022-03-27 22:20:07, {'message': 'submit job', 'job_group_id': 142660, 'job_id': 1005057, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/001e7592add911ec9298f3c47880d670/001e7592add911ec9298f3c47880d670.zip'}
2022-03-31 20:00:22, {'message': 'submit job', 'job_group_id': 143954, 'job_id': 1036529, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/2402910ab0ea11ec9298f3c47880d670/2402910ab0ea11ec9298f3c47880d670.zip'}
2022-04-01 13:23:16, {'message': 'submit job', 'job_group_id': 144124, 'job_id': 1040208, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/d5263eb4b17b11ec9298f3c47880d670/d5263eb4b17b11ec9298f3c47880d670.zip'}
2022-04-01 20:08:37, {'message': 'submit job', 'job_group_id': 144240, 'job_id': 1041867, 'zip_path': './', 'oss_path': 'http://dpcloudserver.oss-cn-shenzhen.aliyuncs.com/dpcloudserver/indicate/75650af8b1b411ec9299f3c47880d670/75650af8b1b411ec9299f3c47880d670.zip'}
